iter	Logloss	Accuracy
645	0.3700908781	0.8271771961
646	0.3700482629	0.8272086584
647	0.3699757661	0.8272820706
648	0.3698961591	0.8272925581
649	0.3698560685	0.8273869452
650	0.3698019343	0.8273869452
651	0.3697354077	0.8274184076
652	0.3696736841	0.8275023072
653	0.369615739	0.827565232
654	0.3695007204	0.8275966944
655	0.3694697876	0.8276596191
656	0.3693717199	0.8277644937
657	0.3692962437	0.8278693682
658	0.3692209061	0.8278798557
659	0.3691434604	0.8280686299
660	0.3690299227	0.8283622787
661	0.3689668753	0.8284356909
662	0.3689002428	0.8282049669
663	0.368821989	0.8285091031
664	0.3687605363	0.828530078
665	0.3687059633	0.8285405655
666	0.3686305806	0.8286978773
667	0.3685502406	0.8286769024
668	0.3684980205	0.8288132394
669	0.3684374371	0.8288656767
670	0.3683932048	0.8287293397
671	0.3682974127	0.8288761641
672	0.3682294227	0.8288866516
673	0.3681429407	0.8290439634
674	0.3680730426	0.829033476
675	0.3679921307	0.8291383505
676	0.3679095516	0.8290964007
677	0.3678360474	0.8291173756
678	0.3677654816	0.8293585871
679	0.3676884973	0.8293376122
680	0.3676027141	0.8294319993
681	0.3675131171	0.8293166373
682	0.3674446891	0.8292956624
683	0.3673473755	0.829379562
684	0.3672863722	0.8294424868
685	0.3672371777	0.8294739492
686	0.3672174575	0.8295473614
687	0.367157711	0.8295368739
688	0.3670728002	0.8295788237
689	0.366988509	0.8296207736
690	0.3669057038	0.8294424868
691	0.3668530748	0.8294949241
692	0.366778815	0.8294529742
693	0.3667393519	0.8294844366
694	0.3666927415	0.8295997986
695	0.3666270757	0.8296102861
696	0.3665524433	0.8295683363
697	0.3664833391	0.8296627234
698	0.3664137978	0.8297780854
699	0.3663654985	0.8298619851
700	0.366307452	0.8299144224
701	0.3662508103	0.8299458847
702	0.3662149267	0.8299458847
703	0.3661655722	0.8299773471
704	0.3660809778	0.8300192969
705	0.3660095956	0.8301870962
706	0.365947161	0.8305331823
707	0.365884921	0.8304492827
708	0.3658161713	0.8303968454
709	0.3657454732	0.8304387952
710	0.3656608706	0.8305226949
711	0.3656035817	0.8306065945
712	0.3654878025	0.8307009816
713	0.3654162627	0.8307114691
714	0.3653413635	0.8308268311
715	0.3652653984	0.8309002433
716	0.3651904401	0.8308268311
717	0.365150772	0.8308268311
718	0.3650972197	0.830847806
